#{"t_start": 1619905634.891071, "env_id": null}
r,l,t
-3,1000,4121.475863
-2,1000,4125.450738
-2,1000,4129.34656
-1,1000,4133.393875
-1,1000,4137.240568
-2,1000,4141.116896
-2,1000,4145.225481
-1,1000,4149.049206
-3,1000,4152.893717
-2,1000,4156.789516
-2,1000,4160.597998
0,1000,4164.488515
-3,1000,4168.340547
-2,1000,4172.33653
0,1000,4176.256974
-2,1000,4180.033813
0,1000,4183.82754
0,1000,4187.747858
-1,1000,4191.575507
-3,1000,4195.408185
-3,1000,4199.224582
-1,1000,4203.254231
0,1000,4207.182588
-2,1000,4211.023759
-2,1000,4214.903877
-2,1000,4218.720591
-2,1000,4222.580829
-2,1000,4226.445832
-1,1000,4230.252643
-2,1000,4234.281278
-3,1000,4238.130841
-1,1000,4242.696241
-3,1000,4246.822911
-4,1000,4250.672461
-3,1000,4254.479625
-2,1000,4258.334563
-2,1000,4262.314589
-1,1000,4266.223228
0,1000,4270.157635
-1,1000,4273.949546
-4,1000,4277.790516
-6,1000,4281.589476
-3,1000,4285.343429
-1,1000,4289.208594
-1,1000,4293.274844
-4,1000,4297.100255
-3,1000,4300.964371
-2,1000,4304.811053
-3,1000,4308.579546
-2,1000,4312.463904
-3,1000,4316.243909
0,1000,4320.046661
-1,1000,4324.159559
-3,1000,4327.918018
-3,1000,4331.70423
-1,1000,4335.503054
-3,1000,4339.273366
-1,1000,4343.075743
-3,1000,4346.909593
0,1000,4350.793601
-1,1000,4354.816688
-5,1000,4358.566368
-1,1000,4362.465211
-3,1000,4366.279619
-4,1000,4370.097696
-4,1000,4374.019748
-4,1000,4377.813617
-4,1000,4381.744116
-2,1000,4385.658686
-3,1000,4389.461541
-2,1000,4393.276718
-3,1000,4397.05456
-2,1000,4400.945699
0,1000,4404.914611
-4,1000,4408.734538
-1,1000,4412.810647
-1,1000,4416.75368
-1,1000,4420.768693
-1,1000,4424.560795
-2,1000,4428.458546
-3,1000,4432.348842
-1,1000,4436.390772
-3,1000,4440.807593
-4,1000,4444.882794
0,1000,4448.757725
-3,1000,4452.538028
-1,1000,4456.587531
-2,1000,4460.495497
-1,1000,4464.280643
-2,1000,4468.13376
-3,1000,4472.042558
-3,1000,4475.973578
-2,1000,4479.864572
-2,1000,4483.713674
-2,1000,4487.642496
